Gene,Diseases
PMS2,"Breast and/or ovarian cancer; Breast carcinoma; Breast neoplasm; Breast-ovarian cancer, familial, susceptibility to, 1; Breast-ovarian cancer, familial, susceptibility to, 2; Burkitt lymphoma; Cancer or benign tumor; Carcinoma of colon; Colon cancer; Colorectal cancer, non-polyposis; Constitutional mismatch repair deficiency syndrome; Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype; Dilated cardiomyopathy 1G; Endometrial carcinoma; Familial cancer of breast; Gastric cancer; Hepatocellular carcinoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary nonpolyposis colon cancer; Hereditary nonpolyposis colorectal carcinoma; Hereditary nonpolyposis colorectal neoplasms; Hypertrophic cardiomyopathy 9; Inherited MMR deficiency (Lynch syndrome); Inherited polyposis and early onset colorectal cancer - germline testing; Lymphoma; Lynch syndrome; Lynch syndrome 1; Lynch syndrome 4; Lynch syndrome 5; Lynch-like syndrome; Malignant lymphoma, large B-cell, diffuse; Malignant tumor of breast; Mismatch repair cancer syndrome 1; Mismatch repair cancer syndrome 4; Ovarian cancer; Ovarian neoplasm; PMS2-related cancer disorders; PMS2-related disorder; Pituitary carcinoma; Polyp of colon; Rhabdomyosarcoma"
PNRC1,NA
POLD1,"Adenomatous polyp of colon; Bile duct cancer; Carcinoma of colon; Carcinoma of pancreas; Colon cancer; Colorectal cancer; Colorectal cancer, susceptibility to, 10; Combined immunodeficiency; Endometrial carcinoma; Familial colorectal cancer; Familial colorectal cancer type X; Familial ovarian cancer; Hereditary cancer; Hereditary cancer-predisposing syndrome; Immunodeficiency 120; Infiltrating duct carcinoma of breast; Inherited polyposis and early onset colorectal cancer - germline testing; Intellectual disability; Lipodystrophy - childhood onset; Malignant tumor of breast; Mandibular hypoplasia-deafness-progeroid syndrome; Micrognathia; POLD1-related disorder; Polymerase proofreading-related adenomatous polyposis; See cases"
POLE,"Autosomal dominant nonsyndromic hearing loss 41; Cancer or benign tumor; Carcinoma of colon; Colon cancer; Colorectal cancer; Colorectal cancer susceptibility 12; Colorectal cancer, susceptibility to, 10; Colorectal cancer, susceptibility to, 12; Colorectal carcinoma; Cystic fibrosis-gastritis-megaloblastic anemia syndrome; Diffuse midline glioma, H3 K27-altered; Endometrial carcinoma; Endometrioid adenocarcinoma; Facial dysmorphism-immunodeficiency-livedo-short stature syndrome; Familial colorectal cancer; Familial colorectal cancer type X; Familial ovarian cancer; Hereditary cancer; Hereditary cancer-predisposing syndrome; Inherited polyposis and early onset colorectal cancer - germline testing; Intestinal polyposis syndrome; Intrauterine growth retardation, metaphyseal dysplasia, adrenal hypoplasia congenita, genital anomalies, and immunodeficiency; Malignant tumor of breast; Myoepithelial tumor; Neuroepithelial neoplasm; POLE Exonuclease Domain Mutation; POLE-related disorder; POLE-related polyposis and colorectal cancer syndrome; Pediatric high-grade glioma; Polymerase proofreading-related adenomatous polyposis; Programmed death ligand-1 (PD-L1) blocking antibody response; XFE progeroid syndrome"
POLR1C,"Hearing impairment; Hypomyelinating leukodystrophy 11; Inborn genetic diseases; Leukoencephalopathy, progressive, with ovarian failure; POLR1C-related disorder; Treacher Collins syndrome 3; XPO5-related disorder"
PPARG,".; CAROTID INTIMAL MEDIAL THICKNESS 1; Carcinoma of colon; DIABETES MELLITUS, TYPE II, DIGENIC; Familial partial lipodystrophy; Glioma susceptibility 1; INSULIN RESISTANCE, DIGENIC; Inborn genetic diseases; Inherited obesity; Lipodystrophy; Lipodystrophy - childhood onset; Monogenic diabetes; Morbid obesity; Obesity; PPARG POLYMORPHISM; PPARG-related disorder; PPARG-related familial partial lipodystrophy; Type 2 diabetes mellitus"
PPP1R13L,Arrhythmogenic cardiomyopathy with variable ectodermal abnormalities; Cardio-cutaneous syndrome; Cardiovascular phenotype; Inborn genetic diseases; Multiple congenital anomalies/dysmorphic syndrome; OMIM:607463; Orofacial cleft; PPP1R13L-associated cardiac phenotype; PPP1R13L-related disorder; Primary dilated cardiomyopathy
PPP4R2,NA
PPP6C,NA
PRAC2,NA
PRDM1,PRDM1-related disorder
PRDM14,NA
PREX2,Cerebral arteriovenous malformation; Lip and oral cavity carcinoma; PREX2-related disorder; Prostate cancer
PRKAG1,EBV-positive nodal T- and NK-cell lymphoma
PRKAR1A,"ARSG-related disorder; Acrodysostosis 1 with or without hormone resistance; Adrenocortical tumor, somatic; Albright hereditary osteodystrophy, pseudohypoparathyroidism, pseudopseudohypoparathyroidism, acrodysostosis and osteoma cutis; Amelogenesis imperfecta type 1G; Arrhythmogenic right ventricular dysplasia 10; Carney complex; Carney complex, type 1; Endocrine pancreas disorder; FAM20A-related disorder; Familial atrial myxoma; Hereditary cancer; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Medulloblastoma; Neural tube defect; PRKAR1A-related disorder; Pigmented nodular adrenocortical disease, primary, 1; Usher syndrome, type 4; WIPI1-related disorder"
PRKD1,Congenital heart defects and ectodermal dysplasia; Intellectual disability; Neurodevelopmental delay; PRKD1-related disorder; Premature ovarian failure; Prostate cancer
PRKDC,Immunodeficiency 26 without neurologic abnormalities; Malignant tumor of breast; Microcephaly; PRKDC-related disorder; See cases; Severe combined immunodeficiency due to DNA-PKcs deficiency
PSMB8,"Autoinflammatory syndrome; Inborn genetic diseases; PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 1, DIGENIC; PSMB8-related disorder; PSMB8-related dominant condition; Proteasome-associated autoinflammatory syndrome 1; Proteosome-associated autoinflammatory syndrome; See cases"
PSMB8-AS1,NA
PSMB9,PSMB9-related disorder; Proteasome-associated autoinflammatory syndrome 3; Proteasome-associated autoinflammatory syndrome 6; proteasome-associated autoinflammatory syndrome with immunodeficiency (PRAAS-ID)
PTCH1,"4-5 toe syndactyly; Abnormal cardiovascular system morphology; Abnormal eye morphology; Acute myeloid leukemia; Anophthalmia-microphthalmia syndrome; Autism spectrum disorder; Basal cell carcinoma; Basal cell carcinoma, somatic; Basal cell carcinoma, susceptibility to, 1; Basal cell nevi; Basal cell nevus syndrome 1; Breast carcinoma; Cataract; Charcot-Marie-Tooth disease; Congenital heart disease; Congenital hydrocephalus; Craniopharyngioma; Craniosynostosis syndrome; Disproportionate tall stature; Fraser syndrome 3; Germinoma; Gorlin syndrome; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary leiomyomatosis and renal cell cancer; Hereditary skin disorder; Hirschsprung disease, susceptibility to, 1; Holoprosencephaly 7; Holoprosencephaly sequence; Inborn genetic diseases; Intellectual disability; Irido-corneo-trabecular dysgenesis; Lens luxation; Lung adenocarcinoma; Macrocephaly; Medulloblastoma; Microform holoprosencephaly; Myopia; Neuroblastoma; Ovarian cancer; Overgrowth; PTCH1-related disorder; Pituitary stalk interruption syndrome; Polydactyly of a triphalangeal thumb; Postaxial polydactyly; Precocious puberty; Retinoblastoma; Rhabdomyosarcoma; Rieger anomaly; See cases; Turner syndrome; Uterine leiomyoma; sellar metastasis from primary bronchial carcinoid tumor"
PTK2,Autism; Bulbous nose; Deeply set eye; Dental crowding; Epicanthus; Failure to thrive; High palate; Hypertonia; Hypotonia; Mandibular prognathia; Shallow orbits
PTK6,Keratoconus
PTPRCAP,NA
PTPRD,EBV-positive nodal T- and NK-cell lymphoma; Neurodevelopmental disorder; PTPRD-related disorder; Prostate cancer
PTPRS,Hearing impairment; NK-cell enteropathy; PTPRS-related disorder
PTPRT,Abnormal brain morphology; Abnormality of neuronal migration; Autism spectrum disorder; Intellectual disability; PTPRT-associated neurodevelopmental disorder; PTPRT-associated neurodevelopmentaldisorder; PTPRT-related disorder
PXMP2,NA
PYROXD1,Inborn genetic diseases; Myofibrillar myopathy 8; PYROXD1-related disorder
QKI,NA
RAC2,Immunodeficiency 73b with defective neutrophil chemotaxis and lymphopenia; Immunodeficiency 73c with defective neutrophil chemotaxis and hypogammaglobulinemia; Inborn genetic diseases; Neutrophil immunodeficiency syndrome; Prostate cancer; RAC2-related disorder
RAD23A,NA
RAD50,"Breast and/or ovarian cancer; Breast cancer, susceptibility to; Breast carcinoma; Breast-ovarian cancer, familial, susceptibility to, 1; Breast-ovarian cancer, familial, susceptibility to, 2; Breast-ovarian cancer, familial, susceptibility to, 3; Familial cancer of breast; Hepatocellular carcinoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer-predisposing syndrome; Lung sarcomatoid carcinoma; Malignant tumor of breast; Medulloblastoma; Meningioma; Myoepithelial tumor; Neoplasm of the skin; Neuroepithelial tumor, PATZ1 fusion-positive; Nijmegen breakage syndrome-like disorder; Ovarian cancer; Premature ovarian insufficiency; Prostate cancer; RAD50-related disorder; See cases"
RAD51B,"Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype; Familial cancer of breast; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Poly (ADP-Ribose) polymerase inhibitor response; RAD51B-related cancer predisposition; RAD51B-related disorder"
RAD51C,"Breast and/or ovarian cancer; Breast carcinoma; Breast-ovarian cancer, familial, susceptibility to, 1; Breast-ovarian cancer, familial, susceptibility to, 2; Breast-ovarian cancer, familial, susceptibility to, 3; Carcinoma of colon; Childhood neoplasm; Endometrial carcinoma; Familial cancer of breast; Familial ovarian cancer; Familial ovarian carcinoma; Fanconi anemia complementation group O; Gastric cancer; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary site-specific ovarian cancer syndrome; Inherited breast cancer and ovarian cancer; Inherited ovarian cancer (without breast cancer); Long QT syndrome; Malignant tumor of breast; Microcephaly; Ovarian cancer; Ovarian neoplasm; Premature ovarian failure; Premature ovarian insufficiency; RAD51C-related cancer predisposition; RAD51C-related disorder; Uterine corpus cancer"
RAD52,Congenital myasthenic syndrome 19; Pilocytic astrocytoma; RAD52-related disorder
RAD54L,"Astrocytoma IDH-mutant; Autosomal dominant hypophosphatemic rickets; Breast ductal adenocarcinoma; Colon adenocarcinoma; Familial cancer of breast; Germ cell tumor; Hereditary breast ovarian cancer syndrome; Hereditary diffuse gastric adenocarcinoma; Inborn genetic diseases; Lymphoma, non-Hodgkin, familial; Non-Hodgkin lymphoma; Pilocytic astrocytoma; Polymorphous low grade neuroepithelial tumor of the young; Premature ovarian failure; RAD54L-related disorder"
RAF1,Cardiovascular phenotype; Dilated cardiomyopathy 1NN; Glioma; Hereditary cancer; Hypertrophic cardiomyopathy 1; Inborn genetic diseases; LEOPARD syndrome 2; Left ventricular noncompaction cardiomyopathy; Monogenic short statue; Noonan syndrome; Noonan syndrome 1; Noonan syndrome 3; Noonan syndrome 5; Noonan syndrome and Noonan-related syndrome; Noonan syndrome with multiple lentigines; Pituitary stalk interruption syndrome; Primary dilated cardiomyopathy; Primary familial hypertrophic cardiomyopathy; RAF1-related disorder; RASopathy; See cases; Trigonitis; Ventricular tachycardia
RARA,Colorectal carcinoma; Familial meningioma; Inborn genetic diseases; Mendelian syndromes with cleft lip/palate; Meniere disease; Syndromic disease; Tretinoin response
RASA1,"Angioosteohypertrophic syndrome; Arteriovenous malformation; Basal cell carcinoma, somatic; Basal cell carcinoma, susceptibility to, 1; Capillary infantile hemangioma; Capillary malformation; Capillary malformation-arteriovenous malformation 1; Capillary malformation-arteriovenous malformation syndrome; Cardiovascular phenotype; Cerebral venous angioma; Gorham-Stout disease; Hereditary hemorrhagic telangiectasia; Hydrops fetalis; Inborn genetic diseases; RASA1-related disorder; See cases; Vascular malformation; Vascular skin disorders; Wieacker-Wolff syndrome"
RB1,"B Lymphoblastic Leukemia/Lymphoma, Not Otherwise Specified; B lymphoblastic leukemia lymphoma with t(12%3B21)(p13%3Bq22)%3B TEL-AML1 (ETV6-RUNX1); Bone osteosarcoma; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary retinoblastoma; Hypotrichosis 8; Inborn genetic diseases; LPAR6-related disorder; Lip and oral cavity carcinoma; Lung adenocarcinoma; Lynch syndrome 4; Malignant tumor of urinary bladder; Medulloblastoma; Optic atrophy; Ovarian cancer; Ovarian neoplasm; RB1-related disorder; Retinal dystrophy; Retinoblastoma; See cases; Small cell lung carcinoma; Squamous cell carcinoma; Trilateral retinoblastoma; Wooly hair, autosomal recessive 1, with or without hypotrichosis; Wooly hair, autosomal recessive 3"
RECQL,Abnormal facial shape; Familial cancer of breast; Familial ovarian cancer; Hepatoblastoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Malignant neoplastic disease; RECON progeroid syndrome; RECQL-related disorder; Seizure; Short stature
RECQL4,Absent radius; B lymphoblastic leukemia lymphoma with t(12%3B21)(p13%3Bq22)%3B TEL-AML1 (ETV6-RUNX1); Baller-Gerold syndrome; Congenital heart disease; Ehlers-Danlos syndrome; Familial cancer of breast; Familial meningioma; Fetal anomalies with a likely genetic cause; Hepatoblastoma; Hereditary cancer-predisposing syndrome; High grade surface osteosarcoma; Inborn genetic diseases; Malignant fibrous histiocytoma; Malignant tumor of breast; Multiple myeloma; Ovarian cancer; RECQL4-related disorder; RECQL4-related spectrum disorders; Rapadilino syndrome; Rothmund-Thomson syndrome; Rothmund-Thomson syndrome type 2; See cases; Susceptibility to severe COVID-19
REL,Immunodeficiency 92; REL-related disorder
RET,"Abnormal facial shape; Abnormality of the digestive system; Aganglionic megacolon; Appendicitis; Breast carcinoma; Breast-ovarian cancer, familial, susceptibility to, 1; Colorectal cancer; Congenital anomaly of kidney and urinary tract; Congenital central hypoventilation; Constipation; Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype; Elevated basal serum calcitonin; Ependymoma; Ewing sarcoma of soft tissue; Familial cancer of breast; Familial hyperparathyroidism or Hypocalciuric hypercalcaemia; Familial medullary thyroid carcinoma; Family history of cancer; Gingival overgrowth; Hepatocellular carcinoma; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hirschsprung disease, protection against; Hirschsprung disease, susceptibility to, 1; Hypertelorism; Hypothyroidism; Inborn genetic diseases; Inherited phaeochromocytoma and paraganglioma excluding NF1; Joint hypermobility; MEN2 phenotype: Unclassified; MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIA, WITH HIRSCHSPRUNG DISEASE; MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIA, WITHOUT PHEOCHROMOCYTOMA; Malignant tumor of breast; Medullary thyroid carcinoma; Medulloblastoma; Megacolon; Microcephaly; Multiple endocrine neoplasia; Multiple endocrine neoplasia II; Multiple endocrine neoplasia type 2A; Multiple endocrine neoplasia type 2B; Multiple endocrine neoplasia, type 2; Neoplasm of the endocrine system; Ovarian cancer; Pheochromocytoma; Pilocytic astrocytoma; Prostate neoplasm; RET-related disorder; Renal hypodysplasia/aplasia 1; Renal hypoplasia/aplasia; See cases; Sensorineural hearing loss disorder; Short stature; Tetralogy of Fallot; Thick vermilion border; Thyroid carcinoma, sporadic medullary; Thyroid gland carcinoma"
RHBDD1,NA
RHEB,Hemimegalencephaly; Intellectual disability; Isolated focal cortical dysplasia type II; Neurodevelopmental delay; RHEB-related disorder; Seizure
RICTOR,Inborn genetic diseases; Premature ovarian failure
RIT1,Cardio-facio-cutaneous syndrome; Cardiovascular phenotype; Congenital heart disease; Downslanted palpebral fissures; Fibrous dysplasia of jaw; Hypertelorism; Inborn genetic diseases; Megalencephaly-capillary malformation-polymicrogyria syndrome; Monogenic short statue; Non-immune hydrops fetalis; Noonan syndrome; Noonan syndrome 1; Noonan syndrome 8; Noonan syndrome and Noonan-related syndrome; Pedal edema; RASopathy; RIT1-related disorder; Short stature
RNF212B,Female infertility
RNF43,Colon serrated polyposis; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hyperplastic polyposis syndrome; Inherited polyposis and early onset colorectal cancer - germline testing; RNF43-related disorder; Sessile serrated polyposis cancer syndrome
ROCK1,See cases
ROS1,Abnormal brain morphology; Lung adenocarcinoma; Lung sarcomatoid carcinoma; Male infertility with azoospermia or oligozoospermia due to single gene mutation; ROS1-related disorder; Short stature; Squamous cell carcinoma
RPS6KA4,NA
RPS6KB2,RPS6KB2-related disorder
RPTOR,NA
RRAS2,Inborn genetic diseases; Noonan syndrome; Noonan syndrome 12; Ovarian neoplasm; RASopathy; RRAS2-related disorder; See cases
RRM1,"Progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal recessive 6; RRM1-related disorder"
RSPH10B,NA
RTEL1,"Abnormality of blood and blood-forming tissues; Action myoclonus-renal failure syndrome; Acute myeloid leukemia; Adams-Oliver syndrome 3; Combined oxidative phosphorylation defect type 24; Developmental disorder; Dyskeratosis congenita; Dyskeratosis congenita, X-linked; Dyskeratosis congenita, autosomal dominant 1; Dyskeratosis congenita, autosomal dominant 4; Dyskeratosis congenita, autosomal recessive 1; Dyskeratosis congenita, autosomal recessive 5; Immunodeficiency; Inborn genetic diseases; Interstitial lung disease 2; Microcephaly; Pulmonary fibrosis; Pulmonary fibrosis and/or bone marrow failure, Telomere-related, 1; Pulmonary fibrosis and/or bone marrow failure, Telomere-related, 3; RTEL1-related disorder; See cases; Telomere syndrome"
RTEL1-TNFRSF6B,NA
RXRA,Multiple myeloma
SCARNA11,NA
SDC4,Type 2 diabetes mellitus
SDHA,"B-lymphoblastic leukemia/lymphoma with hypodiploidy; Cancer or benign tumor; Cardiac arrhythmia; Carney triad; Childhood neoplasm; Diffuse midline glioma, H3 K27-altered; Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype; Dilated cardiomyopathy 1GG; Dystonia, early-onset, and/or spastic paraplegia; Gastrointestinal stromal tumor; Hereditary cancer-predisposing syndrome; Hereditary pheochromocytoma and paraganglioma; Hereditary renal cell carcinoma; Incidental Discovery; Inherited phaeochromocytoma and paraganglioma excluding NF1; Intellectual disability; Leigh syndrome; Mitochondrial complex II deficiency, nuclear type 1; Multiple endocrine neoplasia type 2A; Neoplasm of brain; Neurodegeneration with ataxia and late-onset optic atrophy; Opsoclonus-myoclonus syndrome; Paraganglioma; Pheochromocytoma; Pheochromocytoma/paraganglioma syndrome 1; Pheochromocytoma/paraganglioma syndrome 4; Pheochromocytoma/paraganglioma syndrome 5; Pilocytic astrocytoma; Primary dilated cardiomyopathy; Pulmonary artery atresia; Rhabdomyosarcoma; SDHA-related disorder; See cases; Sick sinus syndrome 2, autosomal dominant; Skeletal myopathy"
SDHAF2,Hereditary cancer-predisposing syndrome; Hereditary pheochromocytoma and paraganglioma; Inherited phaeochromocytoma and paraganglioma excluding NF1; Ovarian cancer; Pheochromocytoma/paraganglioma syndrome 2; SDHAF2-related disorder
SDHB,"Cardiac arrhythmia; Carney triad; Carney-Stratakis syndrome; Cowden syndrome; Cowden syndrome 1; Gastrointestinal stromal tumor; Hereditary cancer-predisposing syndrome; Hereditary pheochromocytoma and paraganglioma; Inherited phaeochromocytoma and paraganglioma excluding NF1; Inherited renal cancer; Malignant tumor of breast; Mitochondrial complex 2 deficiency, nuclear type 4; Mitochondrial complex II deficiency, nuclear type 1; Ovarian cancer; Papillary renal cell carcinoma type 1; Paraganglioma; Paragangliome / Pheochromocytome; Pheochromocytoma; Pheochromocytoma/paraganglioma syndrome 4; Renal cell carcinoma; Renal neoplasm; SDHB-related disorder; Von Hippel-Lindau syndrome; bilateral breast cancer"
SESN1,NA
SESN2,NA
SETD2,"Acute megakaryoblastic leukemia without down syndrome; Autism; Autism spectrum disorder; Cerebellar vermis hypoplasia; Congenital cerebellar hypoplasia; Congenital portosystemic shunt; Corpus callosum, agenesis of; Dandy-Walker syndrome; Developmental disorder; Genetic developmental and epileptic encephalopathy; Genetic syndrome with a Dandy-Walker malformation as major feature; Hereditary ataxia; Inborn genetic diseases; Intellectual developmental disorder, autosomal dominant 70; Intellectual disability; Luscan-Lumish syndrome; Neurodevelopmental disorder; Obesity; Rabin-Pappas syndrome; SETD2 associated neurodevelopmental disorder with multiple congenital anomalies; SETD2-related disorder; SETD2-related neurodevelopmental disorder without or with macrocephaly/overgrowth; See cases; Teratoma; Ventriculomegaly; Wee1 Inhibitor response"
SF3B1,"Acute myeloid leukemia; Chronic myelogenous leukemia, BCR-ABL1 positive; Myelodysplastic syndrome; Myelodysplastic syndrome progressed to acute myeloid leukemia; Neurodevelopmental disorder; SF3B1-related disorder; See cases"
SH2B3,Familial myelofibrosis; Hepatoblastoma; Hereditary cancer; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Juvenile myelomonocytic leukemia; Multiple myeloma; Primary familial polycythemia due to EPO receptor mutation; Primary myelofibrosis; SH2B3-related disorder; Thrombocythemia 1; Thrombocytosis
SH2D2A,NA
SLAMF7,Autism
SLC34A2,Hereditary breast ovarian cancer syndrome; Inborn genetic diseases; PULMONARY ALVEOLAR MICROLITHIASIS; SLC34A2-related disorder
SLC7A8,Cataract; Short stature
SLCO1B1,Cardiovascular phenotype; Gestational diabetes mellitus uncontrolled; Gilbert syndrome; Rotor syndrome; SLCO1B1-related disorder; See cases; atorvastatin response - Metabolism/PK; atorvastatin response - Toxicity; fluvastatin response - Metabolism/PK; fluvastatin response - Toxicity; hmg coa reductase inhibitors response - Toxicity; lovastatin acid response - Metabolism/PK; lovastatin response - Metabolism/PK; lovastatin response - Toxicity; pitavastatin response - Metabolism/PK; pravastatin response - Toxicity; rosuvastatin response - Metabolism/PK; rosuvastatin response - Toxicity; simvastatin acid response - Metabolism/PK; simvastatin response - Metabolism/PK; simvastatin response - Toxicity
SLX4,Familial cancer of breast; Fanconi anemia; Fanconi anemia complementation group A; Fanconi anemia complementation group P; Glioblastoma multiforme; Hepatoblastoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Intellectual disability; Malignant tumor of breast; Microcephaly; Monogenic short statue; Olaparib response; Pituitary stalk interruption syndrome; SLX4-related disorder
SMAD3,"Aneurysm-osteoarthritis syndrome; Aortic aneurysm; Aortic aneurysm, familial thoracic 6; Aortic aneurysm, familial thoracic, SMAD3 related; Arterial dissection; Ascending aortic dissection; Cardiovascular phenotype; Congenital aneurysm of ascending aorta; Connective tissue disorder; Coronary artery disorder; Cutaneous polyarteritis nodosa; Ehlers-Danlos syndrome; Familial aortopathy; Familial thoracic aortic aneurysm and aortic dissection; Idiopathic spontaneous coronary artery dissection; Isolated thoracic aortic aneurysm; Loeys-Dietz syndrome; Lung cancer; SMAD3-related disorder; See cases; Thoracic aortic aneurysm; Thoracic aortic aneurysm or dissection; Vascular dilatation"
SMARCA4,"Anophthalmia-microphthalmia syndrome; Atrial septal defect; Autistic behavior; Cerebral palsy; Childhood neoplasm; Cleft palate; Coffin-Siris syndrome; Coffin-Siris syndrome 1; Delayed speech and language development; Diffuse midline glioma, H3 K27-altered; Facial asymmetry; Global developmental delay; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary nonpolyposis colon cancer; Inborn genetic diseases; Intellectual disability; Intellectual disability, autosomal dominant 16; Malignant tumor of breast; Medulloblastoma; Microcephaly; Neuroblastoma; Neurodevelopmental disorder; Obesity; Otosclerosis 12; Ovarian neoplasm; Rhabdoid tumor predisposition syndrome 2; SMARCA4-related BAFopathy; SMARCA4-related disorder; See cases; Seizure; Single transverse palmar crease; Small cell carcinoma of the ovary, hypercalcemic type; Strabismus; Ventricular septal defect; bilateral breast cancer; intellectual deficiency"
SMIM40,NA
SMO,"Basal cell carcinoma, somatic; Basal cell carcinoma, susceptibility to, 1; Congenital hypothalamic hamartoma syndrome; Congenital ocular coloboma; Curry-Jones syndrome; Inborn genetic diseases; Microcephaly; SMO-related disorder; See cases"
SMYD3,Cerebellar dysfunction with variable cognitive and behavioral abnormalities
SNORD13G,NA
SNORD13H,NA
SOCS1,"AUTOINFLAMMATORY SYNDROME, FAMILIAL, WITHOUT IMMUNODEFICIENCY; Autoimmune hemolytic anemia; Autoimmune thrombocytopenia; Autoimmune thrombocytopenic purpura; Autoinflammatory syndrome with immunodeficiency; EBV-positive nodal T- and NK-cell lymphoma; Malignant lymphoma, large B-cell, diffuse; SOCS1-related disorder; Systemic lupus erythematosus"
SOD2,"Microvascular complications of diabetes, susceptibility to, 6; SOD2 POLYMORPHISM"
SOX17,"Chronic kidney disease; Inborn genetic diseases; Pulmonary arterial hypertension; Pulmonary hypertension, primary, 7; SOX17-related disorder; SOX17-related pulmonary arterial hypertension; Sox17- related disorders; Vesicoureteral reflux; Vesicoureteral reflux 3"
SOX9,3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency; Acampomelic Campomelic Dysplasia; Bent bone dysplasia; CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL; Camptomelic dysplasia; Colorectal cancer; Connective tissue disorder; Fetal anomalies with a likely genetic cause; Inborn genetic diseases; Intellectual disability; Prostate cancer; SOX9-related disorder; See cases
SOX9-AS1,NA
SPATA32,NA
SPEN,Autism spectrum disorder; Breast ductal adenocarcinoma; Developmental disorder; Encephalopathy; Hypotonic infant; Inborn genetic diseases; Myoepithelial tumor; Neurodevelopmental abnormality; Neurodevelopmental delay; Radio-Tartaglia syndrome; SPEN-related disorder; SPEN-related neurodevelopmental disorder; See cases
SPIB,NA
SPRED1,"Cardiovascular phenotype; Costello syndrome; Inborn genetic diseases; Incidental Discovery; Legius syndrome; Male infertility with spermatogenesis disorder; Neurodevelopmental delay; Neurofibromatosis, type 1; Neurofibromatosis-Noonan syndrome; Noonan syndrome; Noonan syndrome and Noonan-related syndrome; RASopathy; SPRED1-related disorder; See cases"
SPRY2,"IgA nephropathy, susceptibility to, 3; SPRY2-related disorder"
SRC,"Colon cancer, advanced; Intellectual disability, autosomal dominant 40; Osteoporosis; Primary myelofibrosis; SRC-related disorder; Thrombocytopenia; Thrombocytopenia 6"
SRD5A2,3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency; Autism spectrum disorder; Differences in sex development; Inborn genetic diseases; Micropenis; SRD5A2 POLYMORPHISM; SRD5A2-related disorder; See cases; Urogenital tract malformation
SRMS,NA
SRSF2,"Acute megakaryoblastic leukemia in down syndrome; Acute myeloid leukemia; Atypical chronic myeloid leukemia, BCR-ABL1 negative; SRSF2-related disorder"
STK11,"Arthrogryposis, distal, with impaired proprioception and touch; B Lymphoblastic Leukemia/Lymphoma, Not Otherwise Specified; Bile duct cancer; Breast and/or ovarian cancer; Breast cancer, susceptibility to; Breast carcinoma; Breast-ovarian cancer, familial, susceptibility to, 2; Carcinoma of colon; Carcinoma of pancreas; Childhood neoplasm; Embryonal rhabdomyosarcoma; Endometrial carcinoma; Familial adenomatous polyposis 1; Familial adenomatous polyposis 2; Familial ovarian cancer; Familial pancreatic carcinoma; Gastric cancer; Generalized juvenile polyposis/juvenile polyposis coli; Germ cell tumor of testis; Hepatoblastoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Intestinal polyposis; Lip and oral cavity carcinoma; Lung adenocarcinoma; Malignant neoplasm of brain; Malignant tumor of breast; Malignant tumor of testis; Marfanoid habitus and intellectual disability; Melanoma; Melanoma, cutaneous malignant, susceptibility to, 1; Multiple endocrine neoplasia, type 1; Ovarian cancer; Periorbital hyperpigmentation; Peutz-Jeghers syndrome; Pigmentary skin disorders; STK11-related disorder; See cases; Squamous cell carcinoma; Squamous cell lung carcinoma"
STK19,NA
