Gene,Diseases
CD3G,CD3G-related disorder; Combined immunodeficiency due to CD3gamma deficiency; Severe combined immunodeficiency disease
CD52,CD52-related disorder
CD74,NA
CD79B,"Agammaglobulinemia 6, autosomal recessive; CD79B-related disorder; Malignant lymphoma, large B-cell, diffuse"
CDA,NA
CDH1,"Anophthalmia-microphthalmia syndrome; Blepharocheilodontic syndrome 1; Breast and/or ovarian cancer; Breast cancer, susceptibility to; Breast carcinoma; Breast lobular carcinoma; Breast neoplasm; Breast-ovarian cancer, familial, susceptibility to, 1; Breast-ovarian cancer, familial, susceptibility to, 2; CDH1-related diffuse gastric and lobular breast cancer syndrome; CDH1-related disorder; Carcinoma of colon; Cleft lip with or without cleft palate; Cleft lip/palate; Colon cancer; Colorectal cancer; Diffuse gastric and lobular breast cancer syndrome with cleft lip and with or without cleft palate; Diffuse midline glioma, H3 K27-altered; Endometrial carcinoma; Familial cancer of breast; Familial prostate cancer; Gastric adenocarcinoma; Gastric cancer; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary diffuse gastric adenocarcinoma; Inborn genetic diseases; Malignant tumor of breast; Neoplasm of stomach; Orofacial cleft; Ovarian cancer; Ovarian neoplasm; Prostate cancer; Prostate cancer susceptibility; Spinocerebellar ataxia 45"
CDK12,CDK12-related disorder; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Lung adenocarcinoma
CDK4,"CDK4-related disorder; Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype; Ewing sarcoma; Familial melanoma; Gastric cancer; Hereditary cancer; Hereditary cancer-predisposing syndrome; Melanoma, cutaneous malignant, susceptibility to, 3; Microcephaly 31, primary, autosomal recessive; Ovarian cancer"
CDK6,"Behcet disease; CDK6-related disorder; Microcephaly 12, primary, autosomal recessive"
CDK8,"Abnormal facial shape; CDK8-related disorder; Common atrium; Complex neurodevelopmental disorder with or without congenital anomalies; Congenital diaphragmatic hernia; Ebstein anomaly; Heart, malformation of; Inborn genetic diseases; Intellectual developmental disorder with hypotonia and behavioral abnormalities; Intellectual disability; Stillbirth; Ventriculomegaly"
CDKN1A,CIP1/WAF1 TUMOR-ASSOCIATED POLYMORPHISM 1; Malignant tumor of urinary bladder
